,blue_team,red_team,result
0,Suning,LGD Gaming,1
1,LGD Gaming,Suning,0
2,LGD Gaming,Suning,0
3,FunPlus Phoenix,Invictus Gaming,1
4,FunPlus Phoenix,Invictus Gaming,0
5,FunPlus Phoenix,Invictus Gaming,1
6,Invictus Gaming,FunPlus Phoenix,1
7,FunPlus Phoenix,Invictus Gaming,0
8,LGD Gaming,Invictus Gaming,1
9,LGD Gaming,Invictus Gaming,1
10,Invictus Gaming,LGD Gaming,1
11,LGD Gaming,Invictus Gaming,1
12,Afreeca Freecs,KT Rolster,1
13,KT Rolster,Afreeca Freecs,0
14,Afreeca Freecs,KT Rolster,1
15,T1,Afreeca Freecs,1
16,Afreeca Freecs,T1,1
17,T1,Afreeca Freecs,1
18,Afreeca Freecs,T1,0
19,Gen.G,T1,1
20,T1,Gen.G,0
21,Gen.G,T1,1
22,MAD Lions,INTZ,1
23,PSG Talon,Rainbow7,1
24,Legacy Esports,INTZ,1
25,LGD Gaming,PSG Talon,0
26,Team Liquid,MAD Lions,1
27,Rainbow7,V3 Esports,0
28,INTZ,SuperMassive Esports,0
29,V3 Esports,Unicorns Of Love.CIS,0
30,LGD Gaming,Rainbow7,0
31,Unicorns Of Love.CIS,PSG Talon,1
32,SuperMassive Esports,MAD Lions,1
33,Team Liquid,Legacy Esports,1
34,V3 Esports,LGD Gaming,0
35,Rainbow7,Unicorns Of Love.CIS,1
36,PSG Talon,V3 Esports,1
37,Unicorns Of Love.CIS,LGD Gaming,1
38,Unicorns Of Love.CIS,PSG Talon,0
39,LGD Gaming,V3 Esports,1
40,SuperMassive Esports,Team Liquid,0
41,MAD Lions,Legacy Esports,0
42,INTZ,Team Liquid,1
43,Legacy Esports,SuperMassive Esports,1
44,MAD Lions,INTZ,1
45,Team Liquid,Legacy Esports,1
46,Rainbow7,LGD Gaming,0
47,Rainbow7,LGD Gaming,0
48,LGD Gaming,Rainbow7,1
49,SuperMassive Esports,MAD Lions,1
50,MAD Lions,SuperMassive Esports,1
51,SuperMassive Esports,MAD Lions,1
52,MAD Lions,SuperMassive Esports,1
53,SuperMassive Esports,MAD Lions,1
54,Legacy Esports,LGD Gaming,0
55,Legacy Esports,LGD Gaming,0
56,Legacy Esports,LGD Gaming,0
57,Unicorns Of Love.CIS,SuperMassive Esports,1
58,SuperMassive Esports,Unicorns Of Love.CIS,0
59,Unicorns Of Love.CIS,SuperMassive Esports,1
60,FlyQuest,Top Esports,0
61,Unicorns Of Love.CIS,DRX,0
62,Rogue,PSG Talon,1
63,DAMWON Gaming,JD Gaming,1
64,Gen.G,LGD Gaming,1
65,TSM,Fnatic,0
66,Machi Esports,Team Liquid,1
67,G2 Esports,Suning,1
68,Rogue,DAMWON Gaming,0
69,PSG Talon,JD Gaming,0
70,Gen.G,TSM,1
71,LGD Gaming,Fnatic,1
72,Machi Esports,G2 Esports,0
73,Team Liquid,Suning,0
74,DAMWON Gaming,PSG Talon,1
75,JD Gaming,Rogue,1
76,FlyQuest,Unicorns Of Love.CIS,1
77,Top Esports,DRX,1
78,G2 Esports,Team Liquid,0
79,Suning,Machi Esports,1
80,DRX,FlyQuest,1
81,Top Esports,Unicorns Of Love.CIS,1
82,Fnatic,Gen.G,1
83,TSM,LGD Gaming,0
84,Team Liquid,G2 Esports,0
85,Machi Esports,Suning,0
86,G2 Esports,Machi Esports,1
87,Suning,Team Liquid,0
88,Team Liquid,Machi Esports,1
89,Suning,G2 Esports,1
90,Suning,G2 Esports,1
91,PSG Talon,DAMWON Gaming,0
92,Rogue,JD Gaming,0
93,DAMWON Gaming,Rogue,1
94,JD Gaming,PSG Talon,0
95,PSG Talon,Rogue,1
96,JD Gaming,DAMWON Gaming,1
97,Fnatic,TSM,1
98,LGD Gaming,Gen.G,0
99,TSM,Gen.G,0
100,Fnatic,LGD Gaming,1
101,LGD Gaming,TSM,1
102,Gen.G,Fnatic,1
103,FlyQuest,DRX,0
104,Unicorns Of Love.CIS,Top Esports,0
105,DRX,Unicorns Of Love.CIS,1
106,Top Esports,FlyQuest,0
107,Unicorns Of Love.CIS,FlyQuest,0
108,DRX,Top Esports,0
109,DAMWON Gaming,DRX,1
110,DRX,DAMWON Gaming,0
111,DRX,DAMWON Gaming,0
112,Suning,JD Gaming,0
113,Suning,JD Gaming,1
114,JD Gaming,Suning,0
115,JD Gaming,Suning,0
116,Top Esports,Fnatic,0
117,Top Esports,Fnatic,0
118,Top Esports,Fnatic,1
119,Fnatic,Top Esports,0
120,Fnatic,Top Esports,0
121,Gen.G,G2 Esports,0
122,Gen.G,G2 Esports,0
123,G2 Esports,Gen.G,1
124,G2 Esports,DAMWON Gaming,0
125,DAMWON Gaming,G2 Esports,0
126,G2 Esports,DAMWON Gaming,0
127,DAMWON Gaming,G2 Esports,1
128,Top Esports,Suning,0
129,Suning,Top Esports,0
130,Top Esports,Suning,0
131,Suning,Top Esports,1
132,DAMWON Gaming,Suning,1
133,DAMWON Gaming,Suning,0
134,Suning,DAMWON Gaming,0
135,DAMWON Gaming,Suning,1
